listing_name,description,bed_type,listing_link,nightly_price,total_price,available_date,rating,nb_reviews,start_date,end_date
Room in Iqaluit,house 446,Stay with Torsten,www.airbnb.ca/rooms/42739832?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=981950172&check_in=2023-09-17&check_out=2023-09-24&source_impression_id=p3_1692675724_AA4gFFUmVMtR%2BHKN&previous_page_section_name=1000&federated_search_id=d61986c3-6b2b-4004-83de-7654b050bada,175,175,2023-09-17 - 2023-09-24,4.94,32.0,2023-09-17,2023-09-24
Apartment in Iqaluit,Iqaluit Suites #1,6 beds,www.airbnb.ca/rooms/28739855?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-03&check_out=2023-09-08&source_impression_id=p3_1692675724_xsUFUzTkkTzOgIMh&previous_page_section_name=1000&federated_search_id=d61986c3-6b2b-4004-83de-7654b050bada,294,"1,470",2023-09-03 - 2023-09-8,4.81,47.0,2023-09-03,2023-09-8
Guest suite in Iqaluit,Your Iqaluit home!,1 bed,www.airbnb.ca/rooms/39700447?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-25&check_out=2023-10-01&source_impression_id=p3_1692675724_owmsCempcZew0%2FKR&previous_page_section_name=1000&federated_search_id=d61986c3-6b2b-4004-83de-7654b050bada,214,"1,286",2023-09-25 - 2023-10-01,4.98,41.0,2023-09-25,2023-10-01
Room in Iqaluit,The Sand Room,Stay with Gildas,www.airbnb.ca/rooms/41811766?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=957039771&check_in=2023-09-12&check_out=2023-09-17&source_impression_id=p3_1692675724_j1emF0wwQp%2BdXkd9&previous_page_section_name=1000&federated_search_id=d61986c3-6b2b-4004-83de-7654b050bada,149,744,2023-09-12 - 2023-09-17,4.76,25.0,2023-09-12,2023-09-17
Boutique hotel in Iqaluit,Stay By The Sea | Room 1,2 queen beds,www.airbnb.ca/rooms/644745241141520336?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-23&check_out=2023-09-28&source_impression_id=p3_1692675724_LatJk1ZNPCOY2WmD&previous_page_section_name=1000&federated_search_id=d61986c3-6b2b-4004-83de-7654b050bada,421,421,2023-09-23 - 2023-09-28,4.92,13.0,2023-09-23,2023-09-28
Room in Iqaluit,Iqaluit Tisi: Tranquil Retreat,Stay with François,www.airbnb.ca/rooms/915919523658675673?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1677448728&check_in=2023-09-18&check_out=2023-09-23&source_impression_id=p3_1692675724_j4i5DiLwdjIH9Vtp&previous_page_section_name=1000&federated_search_id=d61986c3-6b2b-4004-83de-7654b050bada,179,894,2023-09-18 - 2023-09-23,,,2023-09-18,2023-09-23
Room in Iqaluit,Awesome Room with View,Stay with Beata,www.airbnb.ca/rooms/562365298811266356?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1401264834&check_in=2023-09-11&check_out=2023-09-16&source_impression_id=p3_1692675724_q5iMsJbD%2BEoxK8HK&previous_page_section_name=1000&federated_search_id=d61986c3-6b2b-4004-83de-7654b050bada,228,"1,141",2023-09-11 - 2023-09-16,5.0,17.0,2023-09-11,2023-09-16
Condo in Iqaluit,"Lovely 2 bedroom condo, sleeps up to 4 comfortably",4 beds,www.airbnb.ca/rooms/578303362570847798?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-22&check_out=2023-09-27&source_impression_id=p3_1692675724_5z%2FLGo%2FgnG44WUYD&previous_page_section_name=1000&federated_search_id=d61986c3-6b2b-4004-83de-7654b050bada,435,"2,174",2023-09-22 - 2023-09-27,,,2023-09-22,2023-09-27
Condo in Iqaluit,Lovely 1 bedroom condo in quiet neighborhood,2 beds,www.airbnb.ca/rooms/53106637?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-23&check_out=2023-09-28&source_impression_id=p3_1692675724_rQN5uFydabW%2BCoO%2F&previous_page_section_name=1000&federated_search_id=d61986c3-6b2b-4004-83de-7654b050bada,357,"1,787",2023-09-23 - 2023-09-28,,,2023-09-23,2023-09-28
Apartment in Iqaluit,Iqaluit Suites #3,2 beds,www.airbnb.ca/rooms/26081432?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-11-01&check_out=2023-11-06&source_impression_id=p3_1692675724_72nMGe0T4Gye7GN%2F&previous_page_section_name=1000&federated_search_id=d61986c3-6b2b-4004-83de-7654b050bada,294,"1,470",2023-11-01 - 2023-11-6,4.72,58.0,2023-11-01,2023-11-6
Home in Iqaluit,Comfy home with a view of the bay,2 beds,www.airbnb.ca/rooms/7562737?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-12-17&check_out=2023-12-22&source_impression_id=p3_1692675724_q9H7E0BZ%2Fch3kfhw&previous_page_section_name=1000&federated_search_id=d61986c3-6b2b-4004-83de-7654b050bada,334,"1,670",2023-12-17 - 2023-12-22,4.88,8.0,2023-12-17,2023-12-22
Apartment in Iqaluit,Iqaluit Suites #5,3 beds,www.airbnb.ca/rooms/736969605019727676?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-01&check_out=2023-10-08&source_impression_id=p3_1692675724_lww7Y2oeJWQQYzfe&previous_page_section_name=1000&federated_search_id=d61986c3-6b2b-4004-83de-7654b050bada,252,"1,762",2023-10-01 - 2023-10-8,5.0,5.0,2023-10-01,2023-10-8
Condo in Iqaluit,Fully equipped two-bedroom condo with bay view,2 beds,www.airbnb.ca/rooms/749927465143007669?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-01&check_out=2023-09-06&source_impression_id=p3_1692675724_fSyV14Dg5UG07mhJ&previous_page_section_name=1000&federated_search_id=d61986c3-6b2b-4004-83de-7654b050bada,334,"1,668",2023-09-01 - 2023-09-6,,,2023-09-01,2023-09-6
Loft in Iqaluit,Lovely one bedroom with free parking.,1 bed,www.airbnb.ca/rooms/759633489106935576?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-05-01&check_out=2024-05-06&source_impression_id=p3_1692675724_tEzkBUk98oaaoGhD&previous_page_section_name=1000&federated_search_id=d61986c3-6b2b-4004-83de-7654b050bada,310,"1,549",none,5.0,4.0,none,
Home in Iqaluit,Beach House In Iqaluit,4 beds,www.airbnb.ca/rooms/736113443884064538?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-22&check_out=2023-09-28&source_impression_id=p3_1692675724_tiM2bOI9Q4ml3ZZb&previous_page_section_name=1000&federated_search_id=d61986c3-6b2b-4004-83de-7654b050bada,"1,155","6,927",2023-09-22 - 2023-09-28,,,2023-09-22,2023-09-28
Home in Iqaluit,VIOLET,3 beds,www.airbnb.ca/rooms/22505342?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-04&check_out=2023-09-09&source_impression_id=p3_1692675724_c58VnFzB6mV4mqgD&previous_page_section_name=1000&federated_search_id=d61986c3-6b2b-4004-83de-7654b050bada,290,"1,449",2023-09-04 - 2023-09-9,4.89,63.0,2023-09-04,2023-09-9
Room in Iqaluit,Nursing Station - West Wing,Stay with Rannva,www.airbnb.ca/rooms/33015928?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=886485259&check_in=2023-09-01&check_out=2023-09-06&source_impression_id=p3_1692675724_g0DIjqoCUaCvCtgC&previous_page_section_name=1000&federated_search_id=d61986c3-6b2b-4004-83de-7654b050bada,165,827,2023-09-01 - 2023-09-6,5.0,17.0,2023-09-01,2023-09-6
Apartment in Iqaluit,Iqaluit Suites #4,16 beds,www.airbnb.ca/rooms/554422838842049532?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-01&check_out=2023-09-06&source_impression_id=p3_1692675724_QdyFRvXUBbC1kkWH&previous_page_section_name=1000&federated_search_id=d61986c3-6b2b-4004-83de-7654b050bada,601,"3,003",2023-09-01 - 2023-09-6,5.0,8.0,2023-09-01,2023-09-6
Room in Iqaluit,house 446,Stay with Torsten,www.airbnb.ca/rooms/42739832?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=981950172&check_in=2023-09-17&check_out=2023-09-24&source_impression_id=p3_1692675724_AA4gFFUmVMtR%2BHKN&previous_page_section_name=1000&federated_search_id=d61986c3-6b2b-4004-83de-7654b050bada,175,175,2023-09-17 - 2023-09-24,4.94,32.0,2023-09-17,2023-09-24
Apartment in Iqaluit,Iqaluit Suites #1,6 beds,www.airbnb.ca/rooms/28739855?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-03&check_out=2023-09-08&source_impression_id=p3_1692675724_xsUFUzTkkTzOgIMh&previous_page_section_name=1000&federated_search_id=d61986c3-6b2b-4004-83de-7654b050bada,294,"1,470",2023-09-03 - 2023-09-8,4.81,47.0,2023-09-03,2023-09-8
Guest suite in Iqaluit,Your Iqaluit home!,1 bed,www.airbnb.ca/rooms/39700447?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-25&check_out=2023-10-01&source_impression_id=p3_1692675724_owmsCempcZew0%2FKR&previous_page_section_name=1000&federated_search_id=d61986c3-6b2b-4004-83de-7654b050bada,214,"1,286",2023-09-25 - 2023-10-01,4.98,41.0,2023-09-25,2023-10-01
Room in Iqaluit,The Sand Room,Stay with Gildas,www.airbnb.ca/rooms/41811766?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=957039771&check_in=2023-09-12&check_out=2023-09-17&source_impression_id=p3_1692675724_j1emF0wwQp%2BdXkd9&previous_page_section_name=1000&federated_search_id=d61986c3-6b2b-4004-83de-7654b050bada,149,744,2023-09-12 - 2023-09-17,4.76,25.0,2023-09-12,2023-09-17
Boutique hotel in Iqaluit,Stay By The Sea | Room 1,2 queen beds,www.airbnb.ca/rooms/644745241141520336?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-23&check_out=2023-09-28&source_impression_id=p3_1692675724_LatJk1ZNPCOY2WmD&previous_page_section_name=1000&federated_search_id=d61986c3-6b2b-4004-83de-7654b050bada,421,421,2023-09-23 - 2023-09-28,4.92,13.0,2023-09-23,2023-09-28
Room in Iqaluit,Iqaluit Tisi: Tranquil Retreat,Stay with François,www.airbnb.ca/rooms/915919523658675673?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1677448728&check_in=2023-09-18&check_out=2023-09-23&source_impression_id=p3_1692675724_j4i5DiLwdjIH9Vtp&previous_page_section_name=1000&federated_search_id=d61986c3-6b2b-4004-83de-7654b050bada,179,894,2023-09-18 - 2023-09-23,,,2023-09-18,2023-09-23
Room in Iqaluit,Awesome Room with View,Stay with Beata,www.airbnb.ca/rooms/562365298811266356?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1401264834&check_in=2023-09-11&check_out=2023-09-16&source_impression_id=p3_1692675724_q5iMsJbD%2BEoxK8HK&previous_page_section_name=1000&federated_search_id=d61986c3-6b2b-4004-83de-7654b050bada,228,"1,141",2023-09-11 - 2023-09-16,5.0,17.0,2023-09-11,2023-09-16
Condo in Iqaluit,"Lovely 2 bedroom condo, sleeps up to 4 comfortably",4 beds,www.airbnb.ca/rooms/578303362570847798?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-22&check_out=2023-09-27&source_impression_id=p3_1692675724_5z%2FLGo%2FgnG44WUYD&previous_page_section_name=1000&federated_search_id=d61986c3-6b2b-4004-83de-7654b050bada,435,"2,174",2023-09-22 - 2023-09-27,,,2023-09-22,2023-09-27
Condo in Iqaluit,Lovely 1 bedroom condo in quiet neighborhood,2 beds,www.airbnb.ca/rooms/53106637?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-23&check_out=2023-09-28&source_impression_id=p3_1692675724_rQN5uFydabW%2BCoO%2F&previous_page_section_name=1000&federated_search_id=d61986c3-6b2b-4004-83de-7654b050bada,357,"1,787",2023-09-23 - 2023-09-28,,,2023-09-23,2023-09-28
Apartment in Iqaluit,Iqaluit Suites #3,2 beds,www.airbnb.ca/rooms/26081432?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-11-01&check_out=2023-11-06&source_impression_id=p3_1692675724_72nMGe0T4Gye7GN%2F&previous_page_section_name=1000&federated_search_id=d61986c3-6b2b-4004-83de-7654b050bada,294,"1,470",2023-11-01 - 2023-11-6,4.72,58.0,2023-11-01,2023-11-6
Home in Iqaluit,Comfy home with a view of the bay,2 beds,www.airbnb.ca/rooms/7562737?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-12-17&check_out=2023-12-22&source_impression_id=p3_1692675724_q9H7E0BZ%2Fch3kfhw&previous_page_section_name=1000&federated_search_id=d61986c3-6b2b-4004-83de-7654b050bada,334,"1,670",2023-12-17 - 2023-12-22,4.88,8.0,2023-12-17,2023-12-22
Apartment in Iqaluit,Iqaluit Suites #5,3 beds,www.airbnb.ca/rooms/736969605019727676?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-01&check_out=2023-10-08&source_impression_id=p3_1692675724_lww7Y2oeJWQQYzfe&previous_page_section_name=1000&federated_search_id=d61986c3-6b2b-4004-83de-7654b050bada,252,"1,762",2023-10-01 - 2023-10-8,5.0,5.0,2023-10-01,2023-10-8
Condo in Iqaluit,Fully equipped two-bedroom condo with bay view,2 beds,www.airbnb.ca/rooms/749927465143007669?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-01&check_out=2023-09-06&source_impression_id=p3_1692675724_fSyV14Dg5UG07mhJ&previous_page_section_name=1000&federated_search_id=d61986c3-6b2b-4004-83de-7654b050bada,334,"1,668",2023-09-01 - 2023-09-6,,,2023-09-01,2023-09-6
Loft in Iqaluit,Lovely one bedroom with free parking.,1 bed,www.airbnb.ca/rooms/759633489106935576?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-05-01&check_out=2024-05-06&source_impression_id=p3_1692675724_tEzkBUk98oaaoGhD&previous_page_section_name=1000&federated_search_id=d61986c3-6b2b-4004-83de-7654b050bada,310,"1,549",none,5.0,4.0,none,
Home in Iqaluit,Beach House In Iqaluit,4 beds,www.airbnb.ca/rooms/736113443884064538?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-22&check_out=2023-09-28&source_impression_id=p3_1692675724_tiM2bOI9Q4ml3ZZb&previous_page_section_name=1000&federated_search_id=d61986c3-6b2b-4004-83de-7654b050bada,"1,155","6,927",2023-09-22 - 2023-09-28,,,2023-09-22,2023-09-28
Home in Iqaluit,VIOLET,3 beds,www.airbnb.ca/rooms/22505342?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-04&check_out=2023-09-09&source_impression_id=p3_1692675724_c58VnFzB6mV4mqgD&previous_page_section_name=1000&federated_search_id=d61986c3-6b2b-4004-83de-7654b050bada,290,"1,449",2023-09-04 - 2023-09-9,4.89,63.0,2023-09-04,2023-09-9
Room in Iqaluit,Nursing Station - West Wing,Stay with Rannva,www.airbnb.ca/rooms/33015928?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=886485259&check_in=2023-09-01&check_out=2023-09-06&source_impression_id=p3_1692675724_g0DIjqoCUaCvCtgC&previous_page_section_name=1000&federated_search_id=d61986c3-6b2b-4004-83de-7654b050bada,165,827,2023-09-01 - 2023-09-6,5.0,17.0,2023-09-01,2023-09-6
Apartment in Iqaluit,Iqaluit Suites #4,16 beds,www.airbnb.ca/rooms/554422838842049532?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-01&check_out=2023-09-06&source_impression_id=p3_1692675724_QdyFRvXUBbC1kkWH&previous_page_section_name=1000&federated_search_id=d61986c3-6b2b-4004-83de-7654b050bada,601,"3,003",2023-09-01 - 2023-09-6,5.0,8.0,2023-09-01,2023-09-6
Room in Iqaluit,house 446,Stay with Torsten,www.airbnb.ca/rooms/42739832?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=981950172&check_in=2023-09-17&check_out=2023-09-24&source_impression_id=p3_1692675724_AA4gFFUmVMtR%2BHKN&previous_page_section_name=1000&federated_search_id=d61986c3-6b2b-4004-83de-7654b050bada,175,175,2023-09-17 - 2023-09-24,4.94,32.0,2023-09-17,2023-09-24
Apartment in Iqaluit,Iqaluit Suites #1,6 beds,www.airbnb.ca/rooms/28739855?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-03&check_out=2023-09-08&source_impression_id=p3_1692675724_xsUFUzTkkTzOgIMh&previous_page_section_name=1000&federated_search_id=d61986c3-6b2b-4004-83de-7654b050bada,294,"1,470",2023-09-03 - 2023-09-8,4.81,47.0,2023-09-03,2023-09-8
Guest suite in Iqaluit,Your Iqaluit home!,1 bed,www.airbnb.ca/rooms/39700447?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-25&check_out=2023-10-01&source_impression_id=p3_1692675724_owmsCempcZew0%2FKR&previous_page_section_name=1000&federated_search_id=d61986c3-6b2b-4004-83de-7654b050bada,214,"1,286",2023-09-25 - 2023-10-01,4.98,41.0,2023-09-25,2023-10-01
Room in Iqaluit,The Sand Room,Stay with Gildas,www.airbnb.ca/rooms/41811766?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=957039771&check_in=2023-09-12&check_out=2023-09-17&source_impression_id=p3_1692675724_j1emF0wwQp%2BdXkd9&previous_page_section_name=1000&federated_search_id=d61986c3-6b2b-4004-83de-7654b050bada,149,744,2023-09-12 - 2023-09-17,4.76,25.0,2023-09-12,2023-09-17
Boutique hotel in Iqaluit,Stay By The Sea | Room 1,2 queen beds,www.airbnb.ca/rooms/644745241141520336?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-23&check_out=2023-09-28&source_impression_id=p3_1692675724_LatJk1ZNPCOY2WmD&previous_page_section_name=1000&federated_search_id=d61986c3-6b2b-4004-83de-7654b050bada,421,421,2023-09-23 - 2023-09-28,4.92,13.0,2023-09-23,2023-09-28
Room in Iqaluit,Iqaluit Tisi: Tranquil Retreat,Stay with François,www.airbnb.ca/rooms/915919523658675673?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1677448728&check_in=2023-09-18&check_out=2023-09-23&source_impression_id=p3_1692675724_j4i5DiLwdjIH9Vtp&previous_page_section_name=1000&federated_search_id=d61986c3-6b2b-4004-83de-7654b050bada,179,894,2023-09-18 - 2023-09-23,,,2023-09-18,2023-09-23
Room in Iqaluit,Awesome Room with View,Stay with Beata,www.airbnb.ca/rooms/562365298811266356?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1401264834&check_in=2023-09-11&check_out=2023-09-16&source_impression_id=p3_1692675724_q5iMsJbD%2BEoxK8HK&previous_page_section_name=1000&federated_search_id=d61986c3-6b2b-4004-83de-7654b050bada,228,"1,141",2023-09-11 - 2023-09-16,5.0,17.0,2023-09-11,2023-09-16
Condo in Iqaluit,"Lovely 2 bedroom condo, sleeps up to 4 comfortably",4 beds,www.airbnb.ca/rooms/578303362570847798?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-22&check_out=2023-09-27&source_impression_id=p3_1692675724_5z%2FLGo%2FgnG44WUYD&previous_page_section_name=1000&federated_search_id=d61986c3-6b2b-4004-83de-7654b050bada,435,"2,174",2023-09-22 - 2023-09-27,,,2023-09-22,2023-09-27
Condo in Iqaluit,Lovely 1 bedroom condo in quiet neighborhood,2 beds,www.airbnb.ca/rooms/53106637?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-23&check_out=2023-09-28&source_impression_id=p3_1692675724_rQN5uFydabW%2BCoO%2F&previous_page_section_name=1000&federated_search_id=d61986c3-6b2b-4004-83de-7654b050bada,357,"1,787",2023-09-23 - 2023-09-28,,,2023-09-23,2023-09-28
Apartment in Iqaluit,Iqaluit Suites #3,2 beds,www.airbnb.ca/rooms/26081432?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-11-01&check_out=2023-11-06&source_impression_id=p3_1692675724_72nMGe0T4Gye7GN%2F&previous_page_section_name=1000&federated_search_id=d61986c3-6b2b-4004-83de-7654b050bada,294,"1,470",2023-11-01 - 2023-11-6,4.72,58.0,2023-11-01,2023-11-6
Home in Iqaluit,Comfy home with a view of the bay,2 beds,www.airbnb.ca/rooms/7562737?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-12-17&check_out=2023-12-22&source_impression_id=p3_1692675724_q9H7E0BZ%2Fch3kfhw&previous_page_section_name=1000&federated_search_id=d61986c3-6b2b-4004-83de-7654b050bada,334,"1,670",2023-12-17 - 2023-12-22,4.88,8.0,2023-12-17,2023-12-22
Apartment in Iqaluit,Iqaluit Suites #5,3 beds,www.airbnb.ca/rooms/736969605019727676?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-01&check_out=2023-10-08&source_impression_id=p3_1692675724_lww7Y2oeJWQQYzfe&previous_page_section_name=1000&federated_search_id=d61986c3-6b2b-4004-83de-7654b050bada,252,"1,762",2023-10-01 - 2023-10-8,5.0,5.0,2023-10-01,2023-10-8
Condo in Iqaluit,Fully equipped two-bedroom condo with bay view,2 beds,www.airbnb.ca/rooms/749927465143007669?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-01&check_out=2023-09-06&source_impression_id=p3_1692675724_fSyV14Dg5UG07mhJ&previous_page_section_name=1000&federated_search_id=d61986c3-6b2b-4004-83de-7654b050bada,334,"1,668",2023-09-01 - 2023-09-6,,,2023-09-01,2023-09-6
Loft in Iqaluit,Lovely one bedroom with free parking.,1 bed,www.airbnb.ca/rooms/759633489106935576?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-05-01&check_out=2024-05-06&source_impression_id=p3_1692675724_tEzkBUk98oaaoGhD&previous_page_section_name=1000&federated_search_id=d61986c3-6b2b-4004-83de-7654b050bada,310,"1,549",none,5.0,4.0,none,
Home in Iqaluit,Beach House In Iqaluit,4 beds,www.airbnb.ca/rooms/736113443884064538?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-22&check_out=2023-09-28&source_impression_id=p3_1692675724_tiM2bOI9Q4ml3ZZb&previous_page_section_name=1000&federated_search_id=d61986c3-6b2b-4004-83de-7654b050bada,"1,155","6,927",2023-09-22 - 2023-09-28,,,2023-09-22,2023-09-28
Home in Iqaluit,VIOLET,3 beds,www.airbnb.ca/rooms/22505342?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-04&check_out=2023-09-09&source_impression_id=p3_1692675724_c58VnFzB6mV4mqgD&previous_page_section_name=1000&federated_search_id=d61986c3-6b2b-4004-83de-7654b050bada,290,"1,449",2023-09-04 - 2023-09-9,4.89,63.0,2023-09-04,2023-09-9
Room in Iqaluit,Nursing Station - West Wing,Stay with Rannva,www.airbnb.ca/rooms/33015928?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=886485259&check_in=2023-09-01&check_out=2023-09-06&source_impression_id=p3_1692675724_g0DIjqoCUaCvCtgC&previous_page_section_name=1000&federated_search_id=d61986c3-6b2b-4004-83de-7654b050bada,165,827,2023-09-01 - 2023-09-6,5.0,17.0,2023-09-01,2023-09-6
Apartment in Iqaluit,Iqaluit Suites #4,16 beds,www.airbnb.ca/rooms/554422838842049532?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-01&check_out=2023-09-06&source_impression_id=p3_1692675724_QdyFRvXUBbC1kkWH&previous_page_section_name=1000&federated_search_id=d61986c3-6b2b-4004-83de-7654b050bada,601,"3,003",2023-09-01 - 2023-09-6,5.0,8.0,2023-09-01,2023-09-6
Room in Iqaluit,house 446,Stay with Torsten,www.airbnb.ca/rooms/42739832?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=981950172&check_in=2023-09-17&check_out=2023-09-24&source_impression_id=p3_1692675724_AA4gFFUmVMtR%2BHKN&previous_page_section_name=1000&federated_search_id=d61986c3-6b2b-4004-83de-7654b050bada,175,175,2023-09-17 - 2023-09-24,4.94,32.0,2023-09-17,2023-09-24
Apartment in Iqaluit,Iqaluit Suites #1,6 beds,www.airbnb.ca/rooms/28739855?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-03&check_out=2023-09-08&source_impression_id=p3_1692675724_xsUFUzTkkTzOgIMh&previous_page_section_name=1000&federated_search_id=d61986c3-6b2b-4004-83de-7654b050bada,294,"1,470",2023-09-03 - 2023-09-8,4.81,47.0,2023-09-03,2023-09-8
Guest suite in Iqaluit,Your Iqaluit home!,1 bed,www.airbnb.ca/rooms/39700447?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-25&check_out=2023-10-01&source_impression_id=p3_1692675724_owmsCempcZew0%2FKR&previous_page_section_name=1000&federated_search_id=d61986c3-6b2b-4004-83de-7654b050bada,214,"1,286",2023-09-25 - 2023-10-01,4.98,41.0,2023-09-25,2023-10-01
Room in Iqaluit,The Sand Room,Stay with Gildas,www.airbnb.ca/rooms/41811766?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=957039771&check_in=2023-09-12&check_out=2023-09-17&source_impression_id=p3_1692675724_j1emF0wwQp%2BdXkd9&previous_page_section_name=1000&federated_search_id=d61986c3-6b2b-4004-83de-7654b050bada,149,744,2023-09-12 - 2023-09-17,4.76,25.0,2023-09-12,2023-09-17
Boutique hotel in Iqaluit,Stay By The Sea | Room 1,2 queen beds,www.airbnb.ca/rooms/644745241141520336?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-23&check_out=2023-09-28&source_impression_id=p3_1692675724_LatJk1ZNPCOY2WmD&previous_page_section_name=1000&federated_search_id=d61986c3-6b2b-4004-83de-7654b050bada,421,421,2023-09-23 - 2023-09-28,4.92,13.0,2023-09-23,2023-09-28
Room in Iqaluit,Iqaluit Tisi: Tranquil Retreat,Stay with François,www.airbnb.ca/rooms/915919523658675673?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1677448728&check_in=2023-09-18&check_out=2023-09-23&source_impression_id=p3_1692675724_j4i5DiLwdjIH9Vtp&previous_page_section_name=1000&federated_search_id=d61986c3-6b2b-4004-83de-7654b050bada,179,894,2023-09-18 - 2023-09-23,,,2023-09-18,2023-09-23
Room in Iqaluit,Awesome Room with View,Stay with Beata,www.airbnb.ca/rooms/562365298811266356?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1401264834&check_in=2023-09-11&check_out=2023-09-16&source_impression_id=p3_1692675724_q5iMsJbD%2BEoxK8HK&previous_page_section_name=1000&federated_search_id=d61986c3-6b2b-4004-83de-7654b050bada,228,"1,141",2023-09-11 - 2023-09-16,5.0,17.0,2023-09-11,2023-09-16
