listing_name,description,bed_type,listing_link,nightly_price,total_price,available_date,rating,nb_reviews,start_date,end_date,Day_1,Day_2,Day_3,Day_4,Day_5
Room in Ottawa,⭐Cozy and Simple bedroom  5mins walk to uO,Stay with Sunnie,www.airbnb.ca/rooms/53130496?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1632117451&check_in=2023-09-04&check_out=2023-09-10&source_impression_id=p3_1692577755_fdiEMDoGzpuV18eG&previous_page_section_name=1000&federated_search_id=7b0f0f2a-e2d9-4885-a814-085ed802de34,106,634,2023-09-04 - 2023-09-10,4.59,171.0,2023-09-04,2023-09-10,0,0,0,0,0
Tiny homes in Clarence-Rockland,Cozy Tiny Home with Fire pit,1 queen bed,www.airbnb.ca/rooms/683340944973181415?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-28&check_out=2023-09-02&source_impression_id=p3_1692577755_9TeZCc%2F68H%2FpWS%2Bq&previous_page_section_name=1000&federated_search_id=7b0f0f2a-e2d9-4885-a814-085ed802de34,146,146,2023-08-28 - 2023-09-02,4.94,80.0,2023-08-28,2023-09-02,0,0,0,0,0
Apartment in Ottawa,Modern Elegance Retreat: Stylish 1-Bedroom Suite,1 bed,www.airbnb.ca/rooms/752186105116240663?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-03&check_out=2023-09-08&source_impression_id=p3_1692577755_uXR%2F%2Fk%2FETfvim90r&previous_page_section_name=1000&federated_search_id=7b0f0f2a-e2d9-4885-a814-085ed802de34,165,826,2023-09-03 - 2023-09-8,,,2023-09-03,2023-09-08,0,0,0,0,0
Home in Ottawa,"Capital’s Retreat: King Suite, Smart home, WFH",2 beds,www.airbnb.ca/rooms/828438556274389229?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-27&check_out=2023-09-01&source_impression_id=p3_1692577755_PaT%2BKPTp4HUFmt2V&previous_page_section_name=1000&federated_search_id=7b0f0f2a-e2d9-4885-a814-085ed802de34,236,236,2023-08-27 - 2023-09-01,4.8,46.0,2023-08-27,2023-09-01,0,0,0,0,0
Boutique hotel in Ottawa,Sonder The O'Connor | Studio Apartment,1 queen bed,www.airbnb.ca/rooms/619583284590128173?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-21&check_out=2023-08-26&source_impression_id=p3_1692577755_w6PFlvnJOoE%2BuhXb&previous_page_section_name=1000&federated_search_id=7b0f0f2a-e2d9-4885-a814-085ed802de34,200,"1,000",2023-08-21 - 2023-08-26,4.62,333.0,2023-08-21,2023-08-26,1,1,1,1,1
Cottage in Ottawa,The log house,4 beds,www.airbnb.ca/rooms/760363291676027672?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-04&check_out=2023-09-09&source_impression_id=p3_1692577755_Y1Ehw%2FCzY5HvO3xo&previous_page_section_name=1000&federated_search_id=7b0f0f2a-e2d9-4885-a814-085ed802de34,694,"3,468",2023-09-04 - 2023-09-9,4.94,31.0,2023-09-04,2023-09-09,0,0,0,0,0
Tiny homes in Clarence-Rockland,Tiny home for 2 on the Farm,1 queen bed,www.airbnb.ca/rooms/750710005296114002?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-28&check_out=2023-09-02&source_impression_id=p3_1692577755_my69SQX%2FXmuw4V1n&previous_page_section_name=1000&federated_search_id=7b0f0f2a-e2d9-4885-a814-085ed802de34,117,583,2023-08-28 - 2023-09-02,4.83,47.0,2023-08-28,2023-09-02,0,0,0,0,0
Apartment in Ottawa,*New* Impressive Custom 3BD | Orleans 20mins 2DT,3 queen beds,www.airbnb.ca/rooms/841956122298933961?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-21&check_out=2023-08-26&source_impression_id=p3_1692577755_wf%2Bebru54F3IaJkb&previous_page_section_name=1000&federated_search_id=7b0f0f2a-e2d9-4885-a814-085ed802de34,375,375,2023-08-21 - 2023-08-26,5.0,16.0,2023-08-21,2023-08-26,1,1,1,1,1
Apartment in Ottawa,1 bedroom fully serviced apartment / suite,2 beds,www.airbnb.ca/rooms/27339117?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-10&check_out=2023-09-15&source_impression_id=p3_1692577755_V280pVDswONVOafd&previous_page_section_name=1000&federated_search_id=7b0f0f2a-e2d9-4885-a814-085ed802de34,162,808,2023-09-10 - 2023-09-15,4.85,389.0,2023-09-10,2023-09-15,0,0,0,0,0
Guest suite in Ottawa,Your Home away from Home,1 queen bed,www.airbnb.ca/rooms/29684857?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-13&check_out=2023-10-18&source_impression_id=p3_1692577755_hNYI9skJkNG7MfqJ&previous_page_section_name=1000&federated_search_id=7b0f0f2a-e2d9-4885-a814-085ed802de34,124,619,2023-10-13 - 2023-10-18,4.94,455.0,2023-10-13,2023-10-18,0,0,0,0,0
Place to stay in Ottawa,Beautiful 1 bedroom basement,2 beds,www.airbnb.ca/rooms/565050330143275288?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-03&check_out=2023-09-08&source_impression_id=p3_1692577755_eYsm2FpkrIFv7gvO&previous_page_section_name=1000&federated_search_id=7b0f0f2a-e2d9-4885-a814-085ed802de34,154,154,2023-09-03 - 2023-09-8,4.81,127.0,2023-09-03,2023-09-08,0,0,0,0,0
Villa in Ottawa,"Luxury 10 Bedroom Mansion w/HotTub, Pool Table&Gym",11 beds,www.airbnb.ca/rooms/702299454842917257?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-21&check_out=2023-09-28&source_impression_id=p3_1692577755_MicRSBrOoblpcqZJ&previous_page_section_name=1000&federated_search_id=7b0f0f2a-e2d9-4885-a814-085ed802de34,733,733,2023-09-21 - 2023-09-28,4.96,67.0,2023-09-21,2023-09-28,0,0,0,0,0
Apartment in Ottawa,Charming 2 bedrooms in Ottawa,2 queen beds,www.airbnb.ca/rooms/918159709674692848?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-10&check_out=2023-09-15&source_impression_id=p3_1692577755_kT2OF9vy9yDznjwD&previous_page_section_name=1000&federated_search_id=7b0f0f2a-e2d9-4885-a814-085ed802de34,242,"1,209",2023-09-10 - 2023-09-15,4.86,21.0,2023-09-10,2023-09-15,0,0,0,0,0
Apartment in Ottawa,Lovely 2 Bedroom Apt in Orleans w/Free Parking,2 beds,www.airbnb.ca/rooms/680412127728970774?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-14&check_out=2023-09-20&source_impression_id=p3_1692577755_nnbtHVd5V%2F8P2VQl&previous_page_section_name=1000&federated_search_id=7b0f0f2a-e2d9-4885-a814-085ed802de34,251,"1,505",2023-09-14 - 2023-09-20,4.96,26.0,2023-09-14,2023-09-20,0,0,0,0,0
Boutique hotel in Ottawa,Sonder Rideau | Superior One-Bedroom Apartment,2 beds,www.airbnb.ca/rooms/766090900734631497?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-21&check_out=2023-08-26&source_impression_id=p3_1692577755_nwTyMoypYuIyLdzg&previous_page_section_name=1000&federated_search_id=7b0f0f2a-e2d9-4885-a814-085ed802de34,235,"1,176",2023-08-21 - 2023-08-26,4.83,541.0,2023-08-21,2023-08-26,1,1,1,1,1
Room in Ottawa,Cozy room in a townhouse.,Stay with Williams,www.airbnb.ca/rooms/655257326563847673?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1687793118&check_in=2023-08-21&check_out=2023-08-28&source_impression_id=p3_1692577755_tHixEuhxS9qG%2BKYf&previous_page_section_name=1000&federated_search_id=7b0f0f2a-e2d9-4885-a814-085ed802de34,93,649,2023-08-21 - 2023-08-28,5.0,8.0,2023-08-21,2023-08-28,1,1,1,1,1
Condo in Gatineau,Beautiful accommodation only 19 km from Ottawa,1 bed,www.airbnb.ca/rooms/51229832?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-04&check_out=2023-09-11&source_impression_id=p3_1692577755_MsG80R9viPInUZ9X&previous_page_section_name=1000&federated_search_id=7b0f0f2a-e2d9-4885-a814-085ed802de34,119,835,2023-09-04 - 2023-09-11,4.8,181.0,2023-09-04,2023-09-11,0,0,0,0,0
Room in Ottawa,A Bright Basement Unit with Specious Bedroom,Stay with Erica,www.airbnb.ca/rooms/52091638?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1459913143&check_in=2023-08-25&check_out=2023-08-30&source_impression_id=p3_1692577755_7S4AAPrkDT0BibhE&previous_page_section_name=1000&federated_search_id=7b0f0f2a-e2d9-4885-a814-085ed802de34,130,649,2023-08-25 - 2023-08-30,4.91,148.0,2023-08-25,2023-08-30,0,0,0,0,1
Room in Ottawa,⭐Cozy and Simple bedroom  5mins walk to uO,Stay with Sunnie,www.airbnb.ca/rooms/53130496?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1632117451&check_in=2023-09-04&check_out=2023-09-10&source_impression_id=p3_1692577755_fdiEMDoGzpuV18eG&previous_page_section_name=1000&federated_search_id=7b0f0f2a-e2d9-4885-a814-085ed802de34,106,634,2023-09-04 - 2023-09-10,4.59,171.0,2023-09-04,2023-09-10,0,0,0,0,0
Tiny homes in Clarence-Rockland,Cozy Tiny Home with Fire pit,1 queen bed,www.airbnb.ca/rooms/683340944973181415?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-28&check_out=2023-09-02&source_impression_id=p3_1692577755_9TeZCc%2F68H%2FpWS%2Bq&previous_page_section_name=1000&federated_search_id=7b0f0f2a-e2d9-4885-a814-085ed802de34,146,146,2023-08-28 - 2023-09-02,4.94,80.0,2023-08-28,2023-09-02,0,0,0,0,0
Apartment in Ottawa,Modern Elegance Retreat: Stylish 1-Bedroom Suite,1 bed,www.airbnb.ca/rooms/752186105116240663?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-03&check_out=2023-09-08&source_impression_id=p3_1692577755_uXR%2F%2Fk%2FETfvim90r&previous_page_section_name=1000&federated_search_id=7b0f0f2a-e2d9-4885-a814-085ed802de34,165,826,2023-09-03 - 2023-09-8,,,2023-09-03,2023-09-08,0,0,0,0,0
Home in Ottawa,"Capital’s Retreat: King Suite, Smart home, WFH",2 beds,www.airbnb.ca/rooms/828438556274389229?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-27&check_out=2023-09-01&source_impression_id=p3_1692577755_PaT%2BKPTp4HUFmt2V&previous_page_section_name=1000&federated_search_id=7b0f0f2a-e2d9-4885-a814-085ed802de34,236,236,2023-08-27 - 2023-09-01,4.8,46.0,2023-08-27,2023-09-01,0,0,0,0,0
Boutique hotel in Ottawa,Sonder The O'Connor | Studio Apartment,1 queen bed,www.airbnb.ca/rooms/619583284590128173?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-21&check_out=2023-08-26&source_impression_id=p3_1692577755_w6PFlvnJOoE%2BuhXb&previous_page_section_name=1000&federated_search_id=7b0f0f2a-e2d9-4885-a814-085ed802de34,200,"1,000",2023-08-21 - 2023-08-26,4.62,333.0,2023-08-21,2023-08-26,1,1,1,1,1
Cottage in Ottawa,The log house,4 beds,www.airbnb.ca/rooms/760363291676027672?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-04&check_out=2023-09-09&source_impression_id=p3_1692577755_Y1Ehw%2FCzY5HvO3xo&previous_page_section_name=1000&federated_search_id=7b0f0f2a-e2d9-4885-a814-085ed802de34,694,"3,468",2023-09-04 - 2023-09-9,4.94,31.0,2023-09-04,2023-09-09,0,0,0,0,0
Tiny homes in Clarence-Rockland,Tiny home for 2 on the Farm,1 queen bed,www.airbnb.ca/rooms/750710005296114002?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-28&check_out=2023-09-02&source_impression_id=p3_1692577755_my69SQX%2FXmuw4V1n&previous_page_section_name=1000&federated_search_id=7b0f0f2a-e2d9-4885-a814-085ed802de34,117,583,2023-08-28 - 2023-09-02,4.83,47.0,2023-08-28,2023-09-02,0,0,0,0,0
Apartment in Ottawa,*New* Impressive Custom 3BD | Orleans 20mins 2DT,3 queen beds,www.airbnb.ca/rooms/841956122298933961?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-21&check_out=2023-08-26&source_impression_id=p3_1692577755_wf%2Bebru54F3IaJkb&previous_page_section_name=1000&federated_search_id=7b0f0f2a-e2d9-4885-a814-085ed802de34,375,375,2023-08-21 - 2023-08-26,5.0,16.0,2023-08-21,2023-08-26,1,1,1,1,1
Apartment in Ottawa,1 bedroom fully serviced apartment / suite,2 beds,www.airbnb.ca/rooms/27339117?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-10&check_out=2023-09-15&source_impression_id=p3_1692577755_V280pVDswONVOafd&previous_page_section_name=1000&federated_search_id=7b0f0f2a-e2d9-4885-a814-085ed802de34,162,808,2023-09-10 - 2023-09-15,4.85,389.0,2023-09-10,2023-09-15,0,0,0,0,0
Guest suite in Ottawa,Your Home away from Home,1 queen bed,www.airbnb.ca/rooms/29684857?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-13&check_out=2023-10-18&source_impression_id=p3_1692577755_hNYI9skJkNG7MfqJ&previous_page_section_name=1000&federated_search_id=7b0f0f2a-e2d9-4885-a814-085ed802de34,124,619,2023-10-13 - 2023-10-18,4.94,455.0,2023-10-13,2023-10-18,0,0,0,0,0
Place to stay in Ottawa,Beautiful 1 bedroom basement,2 beds,www.airbnb.ca/rooms/565050330143275288?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-03&check_out=2023-09-08&source_impression_id=p3_1692577755_eYsm2FpkrIFv7gvO&previous_page_section_name=1000&federated_search_id=7b0f0f2a-e2d9-4885-a814-085ed802de34,154,154,2023-09-03 - 2023-09-8,4.81,127.0,2023-09-03,2023-09-08,0,0,0,0,0
Villa in Ottawa,"Luxury 10 Bedroom Mansion w/HotTub, Pool Table&Gym",11 beds,www.airbnb.ca/rooms/702299454842917257?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-21&check_out=2023-09-28&source_impression_id=p3_1692577755_MicRSBrOoblpcqZJ&previous_page_section_name=1000&federated_search_id=7b0f0f2a-e2d9-4885-a814-085ed802de34,733,733,2023-09-21 - 2023-09-28,4.96,67.0,2023-09-21,2023-09-28,0,0,0,0,0
Apartment in Ottawa,Charming 2 bedrooms in Ottawa,2 queen beds,www.airbnb.ca/rooms/918159709674692848?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-10&check_out=2023-09-15&source_impression_id=p3_1692577755_kT2OF9vy9yDznjwD&previous_page_section_name=1000&federated_search_id=7b0f0f2a-e2d9-4885-a814-085ed802de34,242,"1,209",2023-09-10 - 2023-09-15,4.86,21.0,2023-09-10,2023-09-15,0,0,0,0,0
Apartment in Ottawa,Lovely 2 Bedroom Apt in Orleans w/Free Parking,2 beds,www.airbnb.ca/rooms/680412127728970774?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-14&check_out=2023-09-20&source_impression_id=p3_1692577755_nnbtHVd5V%2F8P2VQl&previous_page_section_name=1000&federated_search_id=7b0f0f2a-e2d9-4885-a814-085ed802de34,251,"1,505",2023-09-14 - 2023-09-20,4.96,26.0,2023-09-14,2023-09-20,0,0,0,0,0
Boutique hotel in Ottawa,Sonder Rideau | Superior One-Bedroom Apartment,2 beds,www.airbnb.ca/rooms/766090900734631497?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-21&check_out=2023-08-26&source_impression_id=p3_1692577755_nwTyMoypYuIyLdzg&previous_page_section_name=1000&federated_search_id=7b0f0f2a-e2d9-4885-a814-085ed802de34,235,"1,176",2023-08-21 - 2023-08-26,4.83,541.0,2023-08-21,2023-08-26,1,1,1,1,1
Room in Ottawa,Cozy room in a townhouse.,Stay with Williams,www.airbnb.ca/rooms/655257326563847673?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1687793118&check_in=2023-08-21&check_out=2023-08-28&source_impression_id=p3_1692577755_tHixEuhxS9qG%2BKYf&previous_page_section_name=1000&federated_search_id=7b0f0f2a-e2d9-4885-a814-085ed802de34,93,649,2023-08-21 - 2023-08-28,5.0,8.0,2023-08-21,2023-08-28,1,1,1,1,1
Condo in Gatineau,Beautiful accommodation only 19 km from Ottawa,1 bed,www.airbnb.ca/rooms/51229832?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-04&check_out=2023-09-11&source_impression_id=p3_1692577755_MsG80R9viPInUZ9X&previous_page_section_name=1000&federated_search_id=7b0f0f2a-e2d9-4885-a814-085ed802de34,119,835,2023-09-04 - 2023-09-11,4.8,181.0,2023-09-04,2023-09-11,0,0,0,0,0
Room in Ottawa,A Bright Basement Unit with Specious Bedroom,Stay with Erica,www.airbnb.ca/rooms/52091638?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1459913143&check_in=2023-08-25&check_out=2023-08-30&source_impression_id=p3_1692577755_7S4AAPrkDT0BibhE&previous_page_section_name=1000&federated_search_id=7b0f0f2a-e2d9-4885-a814-085ed802de34,130,649,2023-08-25 - 2023-08-30,4.91,148.0,2023-08-25,2023-08-30,0,0,0,0,1
Room in Ottawa,⭐Cozy and Simple bedroom  5mins walk to uO,Stay with Sunnie,www.airbnb.ca/rooms/53130496?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1632117451&check_in=2023-09-04&check_out=2023-09-10&source_impression_id=p3_1692577755_fdiEMDoGzpuV18eG&previous_page_section_name=1000&federated_search_id=7b0f0f2a-e2d9-4885-a814-085ed802de34,106,634,2023-09-04 - 2023-09-10,4.59,171.0,2023-09-04,2023-09-10,0,0,0,0,0
Tiny homes in Clarence-Rockland,Cozy Tiny Home with Fire pit,1 queen bed,www.airbnb.ca/rooms/683340944973181415?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-28&check_out=2023-09-02&source_impression_id=p3_1692577755_9TeZCc%2F68H%2FpWS%2Bq&previous_page_section_name=1000&federated_search_id=7b0f0f2a-e2d9-4885-a814-085ed802de34,146,146,2023-08-28 - 2023-09-02,4.94,80.0,2023-08-28,2023-09-02,0,0,0,0,0
Apartment in Ottawa,Modern Elegance Retreat: Stylish 1-Bedroom Suite,1 bed,www.airbnb.ca/rooms/752186105116240663?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-03&check_out=2023-09-08&source_impression_id=p3_1692577755_uXR%2F%2Fk%2FETfvim90r&previous_page_section_name=1000&federated_search_id=7b0f0f2a-e2d9-4885-a814-085ed802de34,165,826,2023-09-03 - 2023-09-8,,,2023-09-03,2023-09-08,0,0,0,0,0
Home in Ottawa,"Capital’s Retreat: King Suite, Smart home, WFH",2 beds,www.airbnb.ca/rooms/828438556274389229?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-27&check_out=2023-09-01&source_impression_id=p3_1692577755_PaT%2BKPTp4HUFmt2V&previous_page_section_name=1000&federated_search_id=7b0f0f2a-e2d9-4885-a814-085ed802de34,236,236,2023-08-27 - 2023-09-01,4.8,46.0,2023-08-27,2023-09-01,0,0,0,0,0
Boutique hotel in Ottawa,Sonder The O'Connor | Studio Apartment,1 queen bed,www.airbnb.ca/rooms/619583284590128173?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-21&check_out=2023-08-26&source_impression_id=p3_1692577755_w6PFlvnJOoE%2BuhXb&previous_page_section_name=1000&federated_search_id=7b0f0f2a-e2d9-4885-a814-085ed802de34,200,"1,000",2023-08-21 - 2023-08-26,4.62,333.0,2023-08-21,2023-08-26,1,1,1,1,1
Cottage in Ottawa,The log house,4 beds,www.airbnb.ca/rooms/760363291676027672?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-04&check_out=2023-09-09&source_impression_id=p3_1692577755_Y1Ehw%2FCzY5HvO3xo&previous_page_section_name=1000&federated_search_id=7b0f0f2a-e2d9-4885-a814-085ed802de34,694,"3,468",2023-09-04 - 2023-09-9,4.94,31.0,2023-09-04,2023-09-09,0,0,0,0,0
Tiny homes in Clarence-Rockland,Tiny home for 2 on the Farm,1 queen bed,www.airbnb.ca/rooms/750710005296114002?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-28&check_out=2023-09-02&source_impression_id=p3_1692577755_my69SQX%2FXmuw4V1n&previous_page_section_name=1000&federated_search_id=7b0f0f2a-e2d9-4885-a814-085ed802de34,117,583,2023-08-28 - 2023-09-02,4.83,47.0,2023-08-28,2023-09-02,0,0,0,0,0
Apartment in Ottawa,*New* Impressive Custom 3BD | Orleans 20mins 2DT,3 queen beds,www.airbnb.ca/rooms/841956122298933961?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-21&check_out=2023-08-26&source_impression_id=p3_1692577755_wf%2Bebru54F3IaJkb&previous_page_section_name=1000&federated_search_id=7b0f0f2a-e2d9-4885-a814-085ed802de34,375,375,2023-08-21 - 2023-08-26,5.0,16.0,2023-08-21,2023-08-26,1,1,1,1,1
Apartment in Ottawa,1 bedroom fully serviced apartment / suite,2 beds,www.airbnb.ca/rooms/27339117?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-10&check_out=2023-09-15&source_impression_id=p3_1692577755_V280pVDswONVOafd&previous_page_section_name=1000&federated_search_id=7b0f0f2a-e2d9-4885-a814-085ed802de34,162,808,2023-09-10 - 2023-09-15,4.85,389.0,2023-09-10,2023-09-15,0,0,0,0,0
Guest suite in Ottawa,Your Home away from Home,1 queen bed,www.airbnb.ca/rooms/29684857?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-13&check_out=2023-10-18&source_impression_id=p3_1692577755_hNYI9skJkNG7MfqJ&previous_page_section_name=1000&federated_search_id=7b0f0f2a-e2d9-4885-a814-085ed802de34,124,619,2023-10-13 - 2023-10-18,4.94,455.0,2023-10-13,2023-10-18,0,0,0,0,0
Place to stay in Ottawa,Beautiful 1 bedroom basement,2 beds,www.airbnb.ca/rooms/565050330143275288?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-03&check_out=2023-09-08&source_impression_id=p3_1692577755_eYsm2FpkrIFv7gvO&previous_page_section_name=1000&federated_search_id=7b0f0f2a-e2d9-4885-a814-085ed802de34,154,154,2023-09-03 - 2023-09-8,4.81,127.0,2023-09-03,2023-09-08,0,0,0,0,0
Villa in Ottawa,"Luxury 10 Bedroom Mansion w/HotTub, Pool Table&Gym",11 beds,www.airbnb.ca/rooms/702299454842917257?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-21&check_out=2023-09-28&source_impression_id=p3_1692577755_MicRSBrOoblpcqZJ&previous_page_section_name=1000&federated_search_id=7b0f0f2a-e2d9-4885-a814-085ed802de34,733,733,2023-09-21 - 2023-09-28,4.96,67.0,2023-09-21,2023-09-28,0,0,0,0,0
Apartment in Ottawa,Charming 2 bedrooms in Ottawa,2 queen beds,www.airbnb.ca/rooms/918159709674692848?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-10&check_out=2023-09-15&source_impression_id=p3_1692577755_kT2OF9vy9yDznjwD&previous_page_section_name=1000&federated_search_id=7b0f0f2a-e2d9-4885-a814-085ed802de34,242,"1,209",2023-09-10 - 2023-09-15,4.86,21.0,2023-09-10,2023-09-15,0,0,0,0,0
Apartment in Ottawa,Lovely 2 Bedroom Apt in Orleans w/Free Parking,2 beds,www.airbnb.ca/rooms/680412127728970774?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-14&check_out=2023-09-20&source_impression_id=p3_1692577755_nnbtHVd5V%2F8P2VQl&previous_page_section_name=1000&federated_search_id=7b0f0f2a-e2d9-4885-a814-085ed802de34,251,"1,505",2023-09-14 - 2023-09-20,4.96,26.0,2023-09-14,2023-09-20,0,0,0,0,0
Boutique hotel in Ottawa,Sonder Rideau | Superior One-Bedroom Apartment,2 beds,www.airbnb.ca/rooms/766090900734631497?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-21&check_out=2023-08-26&source_impression_id=p3_1692577755_nwTyMoypYuIyLdzg&previous_page_section_name=1000&federated_search_id=7b0f0f2a-e2d9-4885-a814-085ed802de34,235,"1,176",2023-08-21 - 2023-08-26,4.83,541.0,2023-08-21,2023-08-26,1,1,1,1,1
Room in Ottawa,Cozy room in a townhouse.,Stay with Williams,www.airbnb.ca/rooms/655257326563847673?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1687793118&check_in=2023-08-21&check_out=2023-08-28&source_impression_id=p3_1692577755_tHixEuhxS9qG%2BKYf&previous_page_section_name=1000&federated_search_id=7b0f0f2a-e2d9-4885-a814-085ed802de34,93,649,2023-08-21 - 2023-08-28,5.0,8.0,2023-08-21,2023-08-28,1,1,1,1,1
Condo in Gatineau,Beautiful accommodation only 19 km from Ottawa,1 bed,www.airbnb.ca/rooms/51229832?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-04&check_out=2023-09-11&source_impression_id=p3_1692577755_MsG80R9viPInUZ9X&previous_page_section_name=1000&federated_search_id=7b0f0f2a-e2d9-4885-a814-085ed802de34,119,835,2023-09-04 - 2023-09-11,4.8,181.0,2023-09-04,2023-09-11,0,0,0,0,0
Room in Ottawa,A Bright Basement Unit with Specious Bedroom,Stay with Erica,www.airbnb.ca/rooms/52091638?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1459913143&check_in=2023-08-25&check_out=2023-08-30&source_impression_id=p3_1692577755_7S4AAPrkDT0BibhE&previous_page_section_name=1000&federated_search_id=7b0f0f2a-e2d9-4885-a814-085ed802de34,130,649,2023-08-25 - 2023-08-30,4.91,148.0,2023-08-25,2023-08-30,0,0,0,0,1
Room in Ottawa,⭐Cozy and Simple bedroom  5mins walk to uO,Stay with Sunnie,www.airbnb.ca/rooms/53130496?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1632117451&check_in=2023-09-04&check_out=2023-09-10&source_impression_id=p3_1692577755_fdiEMDoGzpuV18eG&previous_page_section_name=1000&federated_search_id=7b0f0f2a-e2d9-4885-a814-085ed802de34,106,634,2023-09-04 - 2023-09-10,4.59,171.0,2023-09-04,2023-09-10,0,0,0,0,0
Tiny homes in Clarence-Rockland,Cozy Tiny Home with Fire pit,1 queen bed,www.airbnb.ca/rooms/683340944973181415?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-28&check_out=2023-09-02&source_impression_id=p3_1692577755_9TeZCc%2F68H%2FpWS%2Bq&previous_page_section_name=1000&federated_search_id=7b0f0f2a-e2d9-4885-a814-085ed802de34,146,146,2023-08-28 - 2023-09-02,4.94,80.0,2023-08-28,2023-09-02,0,0,0,0,0
