listing_name,description,bed_type,rate,listing_link,date,nightly_price,total_price
Loft in Québec,"Old Quebec, Loft a stone's throw from Chateau Frontenac",1 bed,4.85 (190),www.airbnb.ca/rooms/50619241?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-12&check_out=2023-09-17&source_impression_id=p3_1692672110_lIsmplhqJVzZyk4i&previous_page_section_name=1000&federated_search_id=2f464fda-c47e-418f-b2f8-0555839facf3,Sep. 12 – 17,293,293
Tiny homes in Lac-Beauport,Le Pic - Immersif - Petfriendly - Le Maelström,4 beds,New,www.airbnb.ca/rooms/953475199514170427?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-09&check_out=2023-10-14&source_impression_id=p3_1692672110_blUXgXucLNnCq%2B%2Bx&previous_page_section_name=1000&federated_search_id=2f464fda-c47e-418f-b2f8-0555839facf3,Oct. 9 – 14,414,414
Townhouse in Québec,Live Old Quebec 313798,2 beds,4.99 (160),www.airbnb.ca/rooms/36643063?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-22&check_out=2023-10-28&source_impression_id=p3_1692672110_p3kmQi%2BvpKJ%2FsCrX&previous_page_section_name=1000&federated_search_id=2f464fda-c47e-418f-b2f8-0555839facf3,Oct. 22 – 28,276,"1,655"
Apartment in Québec City,CHARMING loft in the Old Port of Quebec,1 queen bed,4.84 (299),www.airbnb.ca/rooms/6167471?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-30&check_out=2023-11-04&source_impression_id=p3_1692672110_YHCqw%2FbxhEKFImIQ&previous_page_section_name=1000&federated_search_id=2f464fda-c47e-418f-b2f8-0555839facf3,Oct. 30 – Nov. 4,165,825
Tiny homes in La Jacques-Cartier Regional County Municipality,Le Lagöm - Miradors - Le Maelström,1 king bed,4.86 (380),www.airbnb.ca/rooms/27050494?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-24&check_out=2023-10-29&source_impression_id=p3_1692672110_4zKn%2B%2FKAMtQ1E%2F8Z&previous_page_section_name=1000&federated_search_id=2f464fda-c47e-418f-b2f8-0555839facf3,Oct. 24 – 29,569,"2,847"
Apartment in Québec City,The Antique Cat -Jacuzzi&Parking,2 king beds,5.0 (6),www.airbnb.ca/rooms/941167768850537302?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-03&check_out=2023-09-08&source_impression_id=p3_1692672110_LHh11RaiNq9EnC%2B4&previous_page_section_name=1000&federated_search_id=2f464fda-c47e-418f-b2f8-0555839facf3,Sep. 3 – 8,327,327
Apartment in Québec,Caïman 308 | Rooftop | Pool,2 beds,4.81 (42),www.airbnb.ca/rooms/605638309093273533?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-28&check_out=2023-11-02&source_impression_id=p3_1692672110_gql1p7k5UxfrVp4B&previous_page_section_name=1000&federated_search_id=2f464fda-c47e-418f-b2f8-0555839facf3,Oct. 28 – Nov. 2,124,621
Loft in Québec,Loft in the center of Old Quebec.,1 bed,4.9 (169),www.airbnb.ca/rooms/50727608?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-15&check_out=2023-10-20&source_impression_id=p3_1692672110_UfMsmcqMkgF%2F6ukx&previous_page_section_name=1000&federated_search_id=2f464fda-c47e-418f-b2f8-0555839facf3,Oct. 15 – 20,278,"1,390"
Place to stay in Québec,Bedroom II. Université Laval< -10 min ->Old Quebec,1 bed,4.57 (23),www.airbnb.ca/rooms/1577452?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-17&check_out=2023-09-23&source_impression_id=p3_1692672110_ohwLFAsqs6ohIGXR&previous_page_section_name=1000&federated_search_id=2f464fda-c47e-418f-b2f8-0555839facf3,Sep. 17 – 23,80,480
Condo in Québec,Bright Studio in Old Quebec City with Rustic Feel,1 queen bed,4.75 (4),www.airbnb.ca/rooms/931722146015431448?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-11-04&check_out=2023-11-09&source_impression_id=p3_1692672110_IlWH2B5LuoI4gq6U&previous_page_section_name=1000&federated_search_id=2f464fda-c47e-418f-b2f8-0555839facf3,Nov. 4 – 9,157,783
Home in Lac-Delage,Dream tree house (309452),3 beds,4.87 (247),www.airbnb.ca/rooms/12998310?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-11-20&check_out=2023-11-27&source_impression_id=p3_1692672110_%2B%2FhcA0zt3clf1Zx3&previous_page_section_name=1000&federated_search_id=2f464fda-c47e-418f-b2f8-0555839facf3,Nov. 20 – 27,363,363
Apartment in Québec,Beautiful apartment in Saint-Roch,2 beds,5.0 (9),www.airbnb.ca/rooms/932496496305783249?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-11-25&check_out=2023-11-30&source_impression_id=p3_1692672110_TYClLmt8q%2FjcB%2Fgx&previous_page_section_name=1000&federated_search_id=2f464fda-c47e-418f-b2f8-0555839facf3,Nov. 25 – 30,114,568
Tiny homes in Lac-Beauport,Tricera - Panoramic View near Quebec City,4 beds,5.0 (6),www.airbnb.ca/rooms/763551545667103206?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-24&check_out=2023-09-29&source_impression_id=p3_1692672110_Ha4dzpgnb6seDpqJ&previous_page_section_name=1000&federated_search_id=2f464fda-c47e-418f-b2f8-0555839facf3,Sep. 24 – 29,496,496
Tiny homes in Lac-Beauport,Chalet Le Laô - New owner (CITQ 300203),2 beds,4.93 (41),www.airbnb.ca/rooms/857286400326157141?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-07&check_out=2024-01-13&source_impression_id=p3_1692672110_qy8oZzgZYoeyUKGa&previous_page_section_name=1000&federated_search_id=2f464fda-c47e-418f-b2f8-0555839facf3,Jan. 7 – 13,409,"2,456"
Apartment in Québec,Charming 2 1/2 in Old Quebec,1 bed,4.94 (18),www.airbnb.ca/rooms/719466400136354281?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-15&check_out=2023-10-20&source_impression_id=p3_1692672110_%2FWOA%2FwIUPrcfUzD%2B&previous_page_section_name=1000&federated_search_id=2f464fda-c47e-418f-b2f8-0555839facf3,Oct. 15 – 20,233,"1,164"
Home in Lac-Beauport,La cAbin ride&sleep,4 beds,5.0 (301),www.airbnb.ca/rooms/38010404?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-15&check_out=2023-10-20&source_impression_id=p3_1692672110_lJ7u38N7RfL0oIE%2F&previous_page_section_name=1000&federated_search_id=2f464fda-c47e-418f-b2f8-0555839facf3,Oct. 15 – 20,475,"2,375"
Loft in Québec,Charming loft in Old Quebec,1 queen bed,4.75 (4),www.airbnb.ca/rooms/720295543800472271?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-09&check_out=2023-09-15&source_impression_id=p3_1692672110_%2FS9My3pChFsiLLk8&previous_page_section_name=1000&federated_search_id=2f464fda-c47e-418f-b2f8-0555839facf3,Sep. 9 – 15,198,"1,185"
Home in Saint-Pierre,Village House,5 beds,New,www.airbnb.ca/rooms/895807415098557407?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-23&check_out=2023-09-29&source_impression_id=p3_1692672110_NGHPbTu9m9I0N%2BeU&previous_page_section_name=1000&federated_search_id=2f464fda-c47e-418f-b2f8-0555839facf3,Sep. 23 – 29,291,"1,746"
Loft in Québec,"Old Quebec, Loft a stone's throw from Chateau Frontenac",1 bed,4.85 (190),www.airbnb.ca/rooms/50619241?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-12&check_out=2023-09-17&source_impression_id=p3_1692672110_lIsmplhqJVzZyk4i&previous_page_section_name=1000&federated_search_id=2f464fda-c47e-418f-b2f8-0555839facf3,Sep. 12 – 17,293,293
Tiny homes in Lac-Beauport,Le Pic - Immersif - Petfriendly - Le Maelström,4 beds,New,www.airbnb.ca/rooms/953475199514170427?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-09&check_out=2023-10-14&source_impression_id=p3_1692672110_blUXgXucLNnCq%2B%2Bx&previous_page_section_name=1000&federated_search_id=2f464fda-c47e-418f-b2f8-0555839facf3,Oct. 9 – 14,414,414
Townhouse in Québec,Live Old Quebec 313798,2 beds,4.99 (160),www.airbnb.ca/rooms/36643063?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-22&check_out=2023-10-28&source_impression_id=p3_1692672110_p3kmQi%2BvpKJ%2FsCrX&previous_page_section_name=1000&federated_search_id=2f464fda-c47e-418f-b2f8-0555839facf3,Oct. 22 – 28,276,"1,655"
Apartment in Québec City,CHARMING loft in the Old Port of Quebec,1 queen bed,4.84 (299),www.airbnb.ca/rooms/6167471?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-30&check_out=2023-11-04&source_impression_id=p3_1692672110_YHCqw%2FbxhEKFImIQ&previous_page_section_name=1000&federated_search_id=2f464fda-c47e-418f-b2f8-0555839facf3,Oct. 30 – Nov. 4,165,825
Tiny homes in La Jacques-Cartier Regional County Municipality,Le Lagöm - Miradors - Le Maelström,1 king bed,4.86 (380),www.airbnb.ca/rooms/27050494?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-24&check_out=2023-10-29&source_impression_id=p3_1692672110_4zKn%2B%2FKAMtQ1E%2F8Z&previous_page_section_name=1000&federated_search_id=2f464fda-c47e-418f-b2f8-0555839facf3,Oct. 24 – 29,569,"2,847"
Apartment in Québec City,The Antique Cat -Jacuzzi&Parking,2 king beds,5.0 (6),www.airbnb.ca/rooms/941167768850537302?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-03&check_out=2023-09-08&source_impression_id=p3_1692672110_LHh11RaiNq9EnC%2B4&previous_page_section_name=1000&federated_search_id=2f464fda-c47e-418f-b2f8-0555839facf3,Sep. 3 – 8,327,327
Apartment in Québec,Caïman 308 | Rooftop | Pool,2 beds,4.81 (42),www.airbnb.ca/rooms/605638309093273533?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-28&check_out=2023-11-02&source_impression_id=p3_1692672110_gql1p7k5UxfrVp4B&previous_page_section_name=1000&federated_search_id=2f464fda-c47e-418f-b2f8-0555839facf3,Oct. 28 – Nov. 2,124,621
Loft in Québec,Loft in the center of Old Quebec.,1 bed,4.9 (169),www.airbnb.ca/rooms/50727608?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-15&check_out=2023-10-20&source_impression_id=p3_1692672110_UfMsmcqMkgF%2F6ukx&previous_page_section_name=1000&federated_search_id=2f464fda-c47e-418f-b2f8-0555839facf3,Oct. 15 – 20,278,"1,390"
Place to stay in Québec,Bedroom II. Université Laval< -10 min ->Old Quebec,1 bed,4.57 (23),www.airbnb.ca/rooms/1577452?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-17&check_out=2023-09-23&source_impression_id=p3_1692672110_ohwLFAsqs6ohIGXR&previous_page_section_name=1000&federated_search_id=2f464fda-c47e-418f-b2f8-0555839facf3,Sep. 17 – 23,80,480
Condo in Québec,Bright Studio in Old Quebec City with Rustic Feel,1 queen bed,4.75 (4),www.airbnb.ca/rooms/931722146015431448?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-11-04&check_out=2023-11-09&source_impression_id=p3_1692672110_IlWH2B5LuoI4gq6U&previous_page_section_name=1000&federated_search_id=2f464fda-c47e-418f-b2f8-0555839facf3,Nov. 4 – 9,157,783
Home in Lac-Delage,Dream tree house (309452),3 beds,4.87 (247),www.airbnb.ca/rooms/12998310?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-11-20&check_out=2023-11-27&source_impression_id=p3_1692672110_%2B%2FhcA0zt3clf1Zx3&previous_page_section_name=1000&federated_search_id=2f464fda-c47e-418f-b2f8-0555839facf3,Nov. 20 – 27,363,363
Apartment in Québec,Beautiful apartment in Saint-Roch,2 beds,5.0 (9),www.airbnb.ca/rooms/932496496305783249?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-11-25&check_out=2023-11-30&source_impression_id=p3_1692672110_TYClLmt8q%2FjcB%2Fgx&previous_page_section_name=1000&federated_search_id=2f464fda-c47e-418f-b2f8-0555839facf3,Nov. 25 – 30,114,568
Tiny homes in Lac-Beauport,Tricera - Panoramic View near Quebec City,4 beds,5.0 (6),www.airbnb.ca/rooms/763551545667103206?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-24&check_out=2023-09-29&source_impression_id=p3_1692672110_Ha4dzpgnb6seDpqJ&previous_page_section_name=1000&federated_search_id=2f464fda-c47e-418f-b2f8-0555839facf3,Sep. 24 – 29,496,496
Tiny homes in Lac-Beauport,Chalet Le Laô - New owner (CITQ 300203),2 beds,4.93 (41),www.airbnb.ca/rooms/857286400326157141?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-07&check_out=2024-01-13&source_impression_id=p3_1692672110_qy8oZzgZYoeyUKGa&previous_page_section_name=1000&federated_search_id=2f464fda-c47e-418f-b2f8-0555839facf3,Jan. 7 – 13,409,"2,456"
Apartment in Québec,Charming 2 1/2 in Old Quebec,1 bed,4.94 (18),www.airbnb.ca/rooms/719466400136354281?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-15&check_out=2023-10-20&source_impression_id=p3_1692672110_%2FWOA%2FwIUPrcfUzD%2B&previous_page_section_name=1000&federated_search_id=2f464fda-c47e-418f-b2f8-0555839facf3,Oct. 15 – 20,233,"1,164"
Home in Lac-Beauport,La cAbin ride&sleep,4 beds,5.0 (301),www.airbnb.ca/rooms/38010404?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-15&check_out=2023-10-20&source_impression_id=p3_1692672110_lJ7u38N7RfL0oIE%2F&previous_page_section_name=1000&federated_search_id=2f464fda-c47e-418f-b2f8-0555839facf3,Oct. 15 – 20,475,"2,375"
Loft in Québec,Charming loft in Old Quebec,1 queen bed,4.75 (4),www.airbnb.ca/rooms/720295543800472271?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-09&check_out=2023-09-15&source_impression_id=p3_1692672110_%2FS9My3pChFsiLLk8&previous_page_section_name=1000&federated_search_id=2f464fda-c47e-418f-b2f8-0555839facf3,Sep. 9 – 15,198,"1,185"
Home in Saint-Pierre,Village House,5 beds,New,www.airbnb.ca/rooms/895807415098557407?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-23&check_out=2023-09-29&source_impression_id=p3_1692672110_NGHPbTu9m9I0N%2BeU&previous_page_section_name=1000&federated_search_id=2f464fda-c47e-418f-b2f8-0555839facf3,Sep. 23 – 29,291,"1,746"
Loft in Québec,"Old Quebec, Loft a stone's throw from Chateau Frontenac",1 bed,4.85 (190),www.airbnb.ca/rooms/50619241?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-12&check_out=2023-09-17&source_impression_id=p3_1692672110_lIsmplhqJVzZyk4i&previous_page_section_name=1000&federated_search_id=2f464fda-c47e-418f-b2f8-0555839facf3,Sep. 12 – 17,293,293
Tiny homes in Lac-Beauport,Le Pic - Immersif - Petfriendly - Le Maelström,4 beds,New,www.airbnb.ca/rooms/953475199514170427?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-09&check_out=2023-10-14&source_impression_id=p3_1692672110_blUXgXucLNnCq%2B%2Bx&previous_page_section_name=1000&federated_search_id=2f464fda-c47e-418f-b2f8-0555839facf3,Oct. 9 – 14,414,414
Townhouse in Québec,Live Old Quebec 313798,2 beds,4.99 (160),www.airbnb.ca/rooms/36643063?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-22&check_out=2023-10-28&source_impression_id=p3_1692672110_p3kmQi%2BvpKJ%2FsCrX&previous_page_section_name=1000&federated_search_id=2f464fda-c47e-418f-b2f8-0555839facf3,Oct. 22 – 28,276,"1,655"
Apartment in Québec City,CHARMING loft in the Old Port of Quebec,1 queen bed,4.84 (299),www.airbnb.ca/rooms/6167471?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-30&check_out=2023-11-04&source_impression_id=p3_1692672110_YHCqw%2FbxhEKFImIQ&previous_page_section_name=1000&federated_search_id=2f464fda-c47e-418f-b2f8-0555839facf3,Oct. 30 – Nov. 4,165,825
Tiny homes in La Jacques-Cartier Regional County Municipality,Le Lagöm - Miradors - Le Maelström,1 king bed,4.86 (380),www.airbnb.ca/rooms/27050494?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-24&check_out=2023-10-29&source_impression_id=p3_1692672110_4zKn%2B%2FKAMtQ1E%2F8Z&previous_page_section_name=1000&federated_search_id=2f464fda-c47e-418f-b2f8-0555839facf3,Oct. 24 – 29,569,"2,847"
Apartment in Québec City,The Antique Cat -Jacuzzi&Parking,2 king beds,5.0 (6),www.airbnb.ca/rooms/941167768850537302?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-03&check_out=2023-09-08&source_impression_id=p3_1692672110_LHh11RaiNq9EnC%2B4&previous_page_section_name=1000&federated_search_id=2f464fda-c47e-418f-b2f8-0555839facf3,Sep. 3 – 8,327,327
Apartment in Québec,Caïman 308 | Rooftop | Pool,2 beds,4.81 (42),www.airbnb.ca/rooms/605638309093273533?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-28&check_out=2023-11-02&source_impression_id=p3_1692672110_gql1p7k5UxfrVp4B&previous_page_section_name=1000&federated_search_id=2f464fda-c47e-418f-b2f8-0555839facf3,Oct. 28 – Nov. 2,124,621
Loft in Québec,Loft in the center of Old Quebec.,1 bed,4.9 (169),www.airbnb.ca/rooms/50727608?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-15&check_out=2023-10-20&source_impression_id=p3_1692672110_UfMsmcqMkgF%2F6ukx&previous_page_section_name=1000&federated_search_id=2f464fda-c47e-418f-b2f8-0555839facf3,Oct. 15 – 20,278,"1,390"
Place to stay in Québec,Bedroom II. Université Laval< -10 min ->Old Quebec,1 bed,4.57 (23),www.airbnb.ca/rooms/1577452?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-17&check_out=2023-09-23&source_impression_id=p3_1692672110_ohwLFAsqs6ohIGXR&previous_page_section_name=1000&federated_search_id=2f464fda-c47e-418f-b2f8-0555839facf3,Sep. 17 – 23,80,480
Condo in Québec,Bright Studio in Old Quebec City with Rustic Feel,1 queen bed,4.75 (4),www.airbnb.ca/rooms/931722146015431448?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-11-04&check_out=2023-11-09&source_impression_id=p3_1692672110_IlWH2B5LuoI4gq6U&previous_page_section_name=1000&federated_search_id=2f464fda-c47e-418f-b2f8-0555839facf3,Nov. 4 – 9,157,783
Home in Lac-Delage,Dream tree house (309452),3 beds,4.87 (247),www.airbnb.ca/rooms/12998310?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-11-20&check_out=2023-11-27&source_impression_id=p3_1692672110_%2B%2FhcA0zt3clf1Zx3&previous_page_section_name=1000&federated_search_id=2f464fda-c47e-418f-b2f8-0555839facf3,Nov. 20 – 27,363,363
Apartment in Québec,Beautiful apartment in Saint-Roch,2 beds,5.0 (9),www.airbnb.ca/rooms/932496496305783249?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-11-25&check_out=2023-11-30&source_impression_id=p3_1692672110_TYClLmt8q%2FjcB%2Fgx&previous_page_section_name=1000&federated_search_id=2f464fda-c47e-418f-b2f8-0555839facf3,Nov. 25 – 30,114,568
Tiny homes in Lac-Beauport,Tricera - Panoramic View near Quebec City,4 beds,5.0 (6),www.airbnb.ca/rooms/763551545667103206?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-24&check_out=2023-09-29&source_impression_id=p3_1692672110_Ha4dzpgnb6seDpqJ&previous_page_section_name=1000&federated_search_id=2f464fda-c47e-418f-b2f8-0555839facf3,Sep. 24 – 29,496,496
Tiny homes in Lac-Beauport,Chalet Le Laô - New owner (CITQ 300203),2 beds,4.93 (41),www.airbnb.ca/rooms/857286400326157141?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-07&check_out=2024-01-13&source_impression_id=p3_1692672110_qy8oZzgZYoeyUKGa&previous_page_section_name=1000&federated_search_id=2f464fda-c47e-418f-b2f8-0555839facf3,Jan. 7 – 13,409,"2,456"
Apartment in Québec,Charming 2 1/2 in Old Quebec,1 bed,4.94 (18),www.airbnb.ca/rooms/719466400136354281?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-15&check_out=2023-10-20&source_impression_id=p3_1692672110_%2FWOA%2FwIUPrcfUzD%2B&previous_page_section_name=1000&federated_search_id=2f464fda-c47e-418f-b2f8-0555839facf3,Oct. 15 – 20,233,"1,164"
Home in Lac-Beauport,La cAbin ride&sleep,4 beds,5.0 (301),www.airbnb.ca/rooms/38010404?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-15&check_out=2023-10-20&source_impression_id=p3_1692672110_lJ7u38N7RfL0oIE%2F&previous_page_section_name=1000&federated_search_id=2f464fda-c47e-418f-b2f8-0555839facf3,Oct. 15 – 20,475,"2,375"
Loft in Québec,Charming loft in Old Quebec,1 queen bed,4.75 (4),www.airbnb.ca/rooms/720295543800472271?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-09&check_out=2023-09-15&source_impression_id=p3_1692672110_%2FS9My3pChFsiLLk8&previous_page_section_name=1000&federated_search_id=2f464fda-c47e-418f-b2f8-0555839facf3,Sep. 9 – 15,198,"1,185"
Home in Saint-Pierre,Village House,5 beds,New,www.airbnb.ca/rooms/895807415098557407?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-23&check_out=2023-09-29&source_impression_id=p3_1692672110_NGHPbTu9m9I0N%2BeU&previous_page_section_name=1000&federated_search_id=2f464fda-c47e-418f-b2f8-0555839facf3,Sep. 23 – 29,291,"1,746"
Loft in Québec,"Old Quebec, Loft a stone's throw from Chateau Frontenac",1 bed,4.85 (190),www.airbnb.ca/rooms/50619241?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-12&check_out=2023-09-17&source_impression_id=p3_1692672110_lIsmplhqJVzZyk4i&previous_page_section_name=1000&federated_search_id=2f464fda-c47e-418f-b2f8-0555839facf3,Sep. 12 – 17,293,293
Tiny homes in Lac-Beauport,Le Pic - Immersif - Petfriendly - Le Maelström,4 beds,New,www.airbnb.ca/rooms/953475199514170427?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-09&check_out=2023-10-14&source_impression_id=p3_1692672110_blUXgXucLNnCq%2B%2Bx&previous_page_section_name=1000&federated_search_id=2f464fda-c47e-418f-b2f8-0555839facf3,Oct. 9 – 14,414,414
Townhouse in Québec,Live Old Quebec 313798,2 beds,4.99 (160),www.airbnb.ca/rooms/36643063?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-22&check_out=2023-10-28&source_impression_id=p3_1692672110_p3kmQi%2BvpKJ%2FsCrX&previous_page_section_name=1000&federated_search_id=2f464fda-c47e-418f-b2f8-0555839facf3,Oct. 22 – 28,276,"1,655"
Apartment in Québec City,CHARMING loft in the Old Port of Quebec,1 queen bed,4.84 (299),www.airbnb.ca/rooms/6167471?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-30&check_out=2023-11-04&source_impression_id=p3_1692672110_YHCqw%2FbxhEKFImIQ&previous_page_section_name=1000&federated_search_id=2f464fda-c47e-418f-b2f8-0555839facf3,Oct. 30 – Nov. 4,165,825
Tiny homes in La Jacques-Cartier Regional County Municipality,Le Lagöm - Miradors - Le Maelström,1 king bed,4.86 (380),www.airbnb.ca/rooms/27050494?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-24&check_out=2023-10-29&source_impression_id=p3_1692672110_4zKn%2B%2FKAMtQ1E%2F8Z&previous_page_section_name=1000&federated_search_id=2f464fda-c47e-418f-b2f8-0555839facf3,Oct. 24 – 29,569,"2,847"
Apartment in Québec City,The Antique Cat -Jacuzzi&Parking,2 king beds,5.0 (6),www.airbnb.ca/rooms/941167768850537302?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-03&check_out=2023-09-08&source_impression_id=p3_1692672110_LHh11RaiNq9EnC%2B4&previous_page_section_name=1000&federated_search_id=2f464fda-c47e-418f-b2f8-0555839facf3,Sep. 3 – 8,327,327
Apartment in Québec,Caïman 308 | Rooftop | Pool,2 beds,4.81 (42),www.airbnb.ca/rooms/605638309093273533?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-28&check_out=2023-11-02&source_impression_id=p3_1692672110_gql1p7k5UxfrVp4B&previous_page_section_name=1000&federated_search_id=2f464fda-c47e-418f-b2f8-0555839facf3,Oct. 28 – Nov. 2,124,621
Loft in Québec,Loft in the center of Old Quebec.,1 bed,4.9 (169),www.airbnb.ca/rooms/50727608?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-15&check_out=2023-10-20&source_impression_id=p3_1692672110_UfMsmcqMkgF%2F6ukx&previous_page_section_name=1000&federated_search_id=2f464fda-c47e-418f-b2f8-0555839facf3,Oct. 15 – 20,278,"1,390"
Place to stay in Québec,Bedroom II. Université Laval< -10 min ->Old Quebec,1 bed,4.57 (23),www.airbnb.ca/rooms/1577452?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-17&check_out=2023-09-23&source_impression_id=p3_1692672110_ohwLFAsqs6ohIGXR&previous_page_section_name=1000&federated_search_id=2f464fda-c47e-418f-b2f8-0555839facf3,Sep. 17 – 23,80,480
Condo in Québec,Bright Studio in Old Quebec City with Rustic Feel,1 queen bed,4.75 (4),www.airbnb.ca/rooms/931722146015431448?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-11-04&check_out=2023-11-09&source_impression_id=p3_1692672110_IlWH2B5LuoI4gq6U&previous_page_section_name=1000&federated_search_id=2f464fda-c47e-418f-b2f8-0555839facf3,Nov. 4 – 9,157,783
Home in Lac-Delage,Dream tree house (309452),3 beds,4.87 (247),www.airbnb.ca/rooms/12998310?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-11-20&check_out=2023-11-27&source_impression_id=p3_1692672110_%2B%2FhcA0zt3clf1Zx3&previous_page_section_name=1000&federated_search_id=2f464fda-c47e-418f-b2f8-0555839facf3,Nov. 20 – 27,363,363
Apartment in Québec,Beautiful apartment in Saint-Roch,2 beds,5.0 (9),www.airbnb.ca/rooms/932496496305783249?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-11-25&check_out=2023-11-30&source_impression_id=p3_1692672110_TYClLmt8q%2FjcB%2Fgx&previous_page_section_name=1000&federated_search_id=2f464fda-c47e-418f-b2f8-0555839facf3,Nov. 25 – 30,114,568
